Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
CH3OHvt=0:Methanol:181.29603, 181.29603:7(-1,7)-6(0,6):-3.92385::42.9880:61.8498:CDMS
HNCv=0:Hydrogen Isocyanide:181.32473, 181.32473:J=2-1:0.00000::3.0240:4.3508:SLAIM
CH3OHvt=0:Methanol:181.77105, 181.77105:4(-2,3)-5(-1,5):-4.46303::28.0730:40.3906:CDMS
CH3OHvt=0:Methanol:183.85282, 183.85282:5(2,4)-6(1,5)--:-4.35586::44.2780:63.7058:CDMS
CH3OHvt=0:Methanol:189.12193, 189.12193:6(1,5)-5(-2,4):-6.85108::42.2060:60.7247:CDMS
CH3OHvt=0:Methanol:189.99559, 189.99559:2(2,0)-2(0,2):-9.15938::13.9630:20.0895:CDMS
CH3OHvt=0:Methanol:190.02802, 190.02802:3(2,1)-3(0,3):-8.47032::18.8030:27.0532:CDMS
CH3OHvt=0:Methanol:190.12402, 190.12402:4(2,2)-4(0,4):-8.48332::25.2540:36.3347:CDMS
CH3OHvt=0:Methanol:190.32850, 190.32850:5(2,3)-5(0,5):-8.02208::33.3160:47.9340:CDMS
CH3OHvt=0:Methanol:190.69685, 190.69685:6(2,4)-6(0,6):-7.91556::42.9880:61.8498:CDMS
CH3OHvt=0:Methanol:191.29404, 191.29404:7(2,5)-7(0,7):-7.76026::54.2660:78.0762:CDMS
CH3OHvt=0:Methanol:191.73305, 191.73305:6(3,3)-7(2,5):-4.40577::60.6470:87.2570:CDMS
CH3OHvt=0:Methanol:191.81051, 191.81051:4(1,4)-3(1,3)++:-3.98195::19.7030:28.3481:CDMS
CH3OHvt=0:Methanol:192.19305, 192.19305:8(2,6)-8(0,8):-7.60705::67.1500:96.6133:CDMS
CH3OHvt=0:Methanol:193.41537, 193.41537:4(0,4)-3(0,3):-3.94549::18.8030:27.0532:CDMS
CH3OHvt=0:Methanol:193.44161, 193.44161:4(-1,4)-3(-1,3):-3.96214::13.5560:19.5039:CDMS
CH3OHvt=0:Methanol:193.45436, 193.45436:4(0,4)-3(0,3)++:-3.92612::9.6810:13.9287:CDMS
