Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
HCNv=0:Hydrogen Cyanide:265.88489, 265.88489:J=3-2,F=3-3:0.00000::8.8690:12.7604:SLAIM
HCNv=0:Hydrogen Cyanide:265.88619, 265.88619:J=3-2,F=2-1:0.00000:20.:8.8690:12.7604:SLAIM
HCNv=0:Hydrogen Cyanide:265.88643, 265.88643:J=3-2,F=3-2:0.00000:20.:8.8690:12.7604:SLAIM
HCNv=0:Hydrogen Cyanide:265.88643, 265.88643:J=3-2:0.00000:20.:8.8690:12.7604:SLAIM
HCNv=0:Hydrogen Cyanide:265.88650, 265.88650:J=3-2,F=4-3:0.00000:20.:8.8690:12.7604:SLAIM
HCNv=0:Hydrogen Cyanide:265.88852, 265.88852:J=3-2,F=2-2:0.00000::8.8690:12.7604:SLAIM
CH3OHvt=0:Methanol:266.16366, 266.16366:2(-2,1)-2(0,2):-8.69310::13.9630:20.0895:CDMS
CH3OHvt=0:Methanol:266.19629, 266.19629:3(-2,2)-3(0,3):-8.18018::18.8030:27.0532:CDMS
CH3OHvt=0:Methanol:266.29219, 266.29219:4(-2,3)-4(0,4):-7.89231::25.2540:36.3347:CDMS
CH3OHvt=0:Methanol:266.49618, 266.49618:5(-2,4)-5(0,5):-7.60734::33.3160:47.9340:CDMS
CH3OHvt=0:Methanol:266.83813, 266.83813:5(2,3)-4(1,3):-3.61782: 1.7:30.7640:44.2623:CDMS
CH3OHvt=0:Methanol:266.86409, 266.86409:6(-2,5)-6(0,6):-7.38330::42.9880:61.8498:CDMS
CH3OHvt=0:Methanol:267.46251, 267.46251:7(-2,6)-7(0,7):-7.20856::54.2660:78.0762:CDMS
HCO+v=0:Formylium:267.55763, 267.55763:3-2:0.00000:12.:8.9250:12.8410:SLAIM
CH3OHvt=0:Methanol:268.36837, 268.36837:8(-2,7)-8(0,8):-7.06979::67.1500:96.6133:CDMS
CH3OHvt=0:Methanol:269.67951, 269.67951:4(-2,3)-3(2,1):-10.18221::25.1410:36.1721:CDMS
HNCv=0:Hydrogen Isocyanide:271.98111, 271.98111:J=3-2:0.00000:10.:9.0730:13.0539:SLAIM
CH3OHvt=0:Methanol:278.30451, 278.30451:9(-1,9)-8(0,8):-3.47776: 1.5:67.1500:96.6133:CDMS
CH3OHvt=0:Methanol:278.34226, 278.34226:2(-2,1)-3(-1,3):-4.61342::13.5560:19.5039:CDMS
H2CO:Formaldehyde:281.52693, 281.52693:4(1,4)-3(1,3):-2.00710: 1.4:22.2822:32.0589:CDMS
CH3OHvt=0:Methanol:283.09490, 283.09490:4(-4,1)-5(-3,3):-4.96173::67.7870:97.5298:CDMS
CH3OHvt=0:Methanol:285.11115, 285.11115:3(2,2)-4(1,3)--:-4.29449::26.3800:37.9547:CDMS
CH3OHvt=0:Methanol:285.68381, 285.68381:8(1,7)-7(-2,6):-5.90873::63.1880:90.9129:CDMS
CH3OHvt=0:Methanol:286.74013, 286.74013:2(2,0)-1(0,1):-9.09951::10.7360:15.4466:CDMS
CH3OHvt=0:Methanol:287.67084, 287.67084:6(1,6)-5(1,5)++:-3.47139::34.0980:49.0591:CDMS
CH3OHvt=0:Methanol:288.70557, 288.70557:4(3,1)-5(2,3):-4.38110::39.6650:57.0688:CDMS
DCNv=0:Hydrogen Cyanide:289.64481, 289.64481:J=4-3,F=3-2:0.00000::14.4930:20.8521:SLAIM
DCNv=0:Hydrogen Cyanide:289.64491, 289.64491:J=4-3:0.00000: 1.65:14.4930:20.8521:SLAIM
DCNv=0:Hydrogen Cyanide:289.64492, 289.64492:J=4-3,F=4-3:0.00000: 1.65:14.4930:20.8521:SLAIM
DCNv=0:Hydrogen Cyanide:289.64496, 289.64496:J=4-3,F=5-4:0.00000::14.4930:20.8521:SLAIM
