Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
C18O:Carbon Monoxide:329.33055, 329.33055:3-2:0.00000:15.3:10.9860:15.8063:SLAIM
13COv=0:Carbon Monoxide:330.58797, 330.58797:3-2:-3.66620:16.03:11.0276:15.8662:CDMS
CH3OHvt=0:Methanol:335.12178, 335.12178:3(2,1)-2(0,2):-8.49537::13.9630:20.0895:CDMS
CH3OHvt=0:Methanol:335.13369, 335.13369:2(2,1)-3(1,2)--:-4.49715: 1.98:19.8700:28.5883:CDMS
CH3OHvt=0:Methanol:335.36259, 335.36259:7(3,4)-8(0,8):-6.60554::67.1500:96.6133:CDMS
CH3OHvt=0:Methanol:335.58200, 335.58200:7(1,7)-6(1,6)++:-3.28892: 3.37:43.6940:62.8656:CDMS
C17O:Carbon Monoxide:337.06110, 337.06110:J=3-2:0.00000: 1.47:11.2440:16.1775:SLAIM
CH3OHvt=0:Methanol:337.13587, 337.13587:3(3,0)-4(2,2):-4.60946: 0.76:31.5960:45.4593:CDMS
CH3OHvt=0:Methanol:338.12450, 338.12450:7(0,7)-6(0,6):-3.27288: 4.48:42.9880:61.8498:CDMS
CH3OHvt=0:Methanol:338.34463, 338.34463:7(-1,7)-6(-1,6):-3.26991: 4.23:37.7490:54.3121:CDMS
CH3OHvt=0:Methanol:338.40868, 338.40868:7(0,7)-6(0,6)++:-3.25278:  b:33.8760:48.7397:CDMS
CH3OHvt=0:Methanol:338.51286, 338.51286:7(2,6)-6(2,5)--:-3.34172:  b:60.0900:86.4556:CDMS
CH3OHvt=0:Methanol:338.54080, 338.54080:7(3,5)-6(3,4)++:-3.41425: 4.75b:68.4930:98.5456:CDMS
CH3OHvt=0:Methanol:338.54320, 338.54320:7(3,4)-6(3,3)--:-3.41424:  b:68.4930:98.5456:CDMS
CH3OHvt=0:Methanol:338.58319, 338.58319:7(3,4)-6(3,3):-3.40962: 4.05:67.0430:96.4594:CDMS
CH3OHvt=0:Methanol:338.61500, 338.61500:7(1,6)-6(1,5):-3.28115: 7.75:48.5140:69.8004:CDMS
CH3OHvt=0:Methanol:338.63994, 338.63994:7(2,5)-6(2,4)++:-3.34141: 3.82:60.0960:86.4642:CDMS
CH3OHvt=0:Methanol:338.72163, 338.72163:7(2,5)-6(2,4):-3.32622: 5.08b:49.3490:71.0018:CDMS
CH3OHvt=0:Methanol:338.72294, 338.72294:7(-2,6)-6(-2,5):-3.32611:  b:51.8890:74.6563:CDMS
CH3OHvt=0:Methanol:340.14122, 340.14122:2(2,0)-3(1,3)++:-4.48949: 1.47:19.7030:28.3481:CDMS
CH3OHvt=0:Methanol:341.41564, 341.41564:7(1,6)-6(1,5)--:-3.27537: 2.93:44.2780:63.7058:CDMS
CSv=0:Carbon Monosulfide:342.88286, 342.88286:7-6:0.00000: 9.65:34.3150:49.3713:SLAIM
CH3OHvt=0:Methanol:343.00581, 343.00581:5(-2,4)-4(1,3):-6.57254::30.7640:44.2623:CDMS
HC15Nv=0:Hydrogen Cyanide:344.20011, 344.20011:4-3:0.00000:37.2f:17.2230:24.7799:SLAIM
H13CNv=0:Hydrogen Cyanide:345.33976, 345.33976:J=4-3:0.00000:  b:17.2800:24.8619:SLAIM
COv=0:Carbon Monoxide:345.79599, 345.79599:3-2:0.00000:70.00:11.5350:16.5962:SLAIM
CH3OHvt=0:Methanol:346.20278, 346.20278:5(4,2)-6(3,3)--:-4.36247: 1.3:68.4930:98.5456:CDMS
CH3OHvt=0:Methanol:346.20437, 346.20437:5(4,1)-6(3,4)++:-4.36247: 1.3:68.4930:98.5456:CDMS
H13CO+:Formylium:346.99835, 346.99835:4-3:0.00000: 1.03:17.3630:24.9813:SLAIM
CH3OHvt=0:Methanol:347.27159, 347.27159:2(2,0)-2(-1,2):-9.02793::8.7170:12.5417:CDMS
CH3OHvt=0:Methanol:347.30034, 347.30034:3(2,1)-3(-1,3):-7.94104::13.5560:19.5039:CDMS
SiOv=0:Silicon Monoxide:347.33058, 347.33058:8-7:-0.76760:6.81:40.5540:58.3478:CDMS
CH3OHvt=0:Methanol:347.37006, 347.37006:4(2,2)-4(-1,4):-7.65331::20.0090:28.7883:CDMS
CH3OHvt=0:Methanol:347.50746, 347.50746:5(2,3)-5(-1,5):-7.36866::28.0730:40.3906:CDMS
CH3OHvt=0:Methanol:347.74543, 347.74543:6(2,4)-6(-1,6):-7.14523::37.7490:54.3121:CDMS
CH3OHvt=0:Methanol:348.12252, 348.12252:7(2,5)-7(-1,7):-7.01291::49.0350:70.5500:CDMS
CH3OHvt=0:Methanol:348.68191, 348.68191:8(2,6)-8(-1,8):-6.99699::61.9300:89.1029:CDMS
CH3OHvt=0:Methanol:350.68773, 350.68773:4(0,4)-3(-1,3):-3.74112: 5.12:13.5560:19.5039:CDMS
CH3OHvt=0:Methanol:350.90512, 350.90512:1(1,1)-0(0,0)++:-3.60786: 3.33:0.0000:0.0000:CDMS
H2CO:Formaldehyde:351.76864, 351.76864:5(1,5)-4(1,4):-1.72840:11.31:31.6729:45.5700:CDMS
HCNv=0:Hydrogen Cyanide:354.50547, 354.50547:J=4-3:0.00000:17.40:17.7380:25.5209:SLAIM
HCO+v=0:Formylium:356.73424, 356.73424:4-3:0.00000:17.40:17.8500:25.6820:SLAIM
CH3OHvt=0:Methanol:358.60580, 358.60580:4(1,3)-3(0,3):-3.57973: 3.18:18.8030:27.0532:CDMS
CH3OHvt=0:Methanol:361.85225, 361.85225:8(1,7)-7(2,5):-3.62747:17.0:60.6470:87.2570:CDMS
DCNv=0:Hydrogen Cyanide:362.04574, 362.04574:J=5-4:0.00000:10.0:24.1540:34.7520:SLAIM
CH3OHvt=0:Methanol:362.06934, 362.06934:3(3,0)-4(1,3):-7.94122::30.7640:44.2623:CDMS
HNCv=0:Hydrogen Isocyanide:362.63030, 362.63030:J=4-3:0.00000: 3.0:18.1450:26.1065:SLAIM
H2CO:Formaldehyde:362.73605, 362.73605:5(0,5)-4(0,4):-2.14630: 4.7:24.2597:34.9041:CDMS
CH3OHvt=0:Methanol:362.90821, 362.90821:2(-2,1)-1(0,1):-8.59652::10.7360:15.4466:CDMS
CH3OHvt=0:Methanol:363.73982, 363.73982:7(2,5)-6(1,5):-3.31404::48.5140:69.8004:CDMS
H2CO:Formaldehyde:363.94589, 363.94589:5(2,4)-4(2,3):-2.28720: 9.94:57.0425:82.0710:CDMS
H2CO:Formaldehyde:365.36343, 365.36343:5(2,3)-4(2,2):-2.28390: 0.055:57.0780:82.1220:CDMS
CH3OHvt=0:Methanol:366.47498, 366.47498:6(-2,5)-5(2,3):-8.47230::39.6650:57.0688:CDMS
H2CO:Formaldehyde:375.89322, 375.89322:5(1,4)-4(1,3):-1.67500::33.2835:47.8873:CDMS
CH3OHvt=0:Methanol:383.02704, 383.02704:6(3,3)-7(0,7):-6.79591::54.2660:78.0762:CDMS
CH3OHvt=0:Methanol:383.47788, 383.47788:8(1,8)-7(1,7)++:-3.13800::54.8880:78.9711:CDMS
CH3OHvt=0:Methanol:383.53935, 383.53935:4(2,2)-3(0,3):-7.86700::18.8030:27.0532:CDMS
CH3OHvt=0:Methanol:386.24766, 386.24766:8(0,8)-7(0,7):-3.12465::54.2660:78.0762:CDMS
CH3OHvt=0:Methanol:386.58727, 386.58727:8(-1,8)-7(-1,7):-3.11920::49.0350:70.5500:CDMS
CH3OHvt=0:Methanol:386.68203, 386.68203:8(0,8)-7(0,7)++:-3.10413::45.1640:64.9805:CDMS
CH3OHvt=0:Methanol:386.97714, 386.97714:8(1,7)-7(1,6):-3.13058::59.8090:86.0513:CDMS
CH3OHvt=0:Methanol:387.14668, 387.14668:8(2,6)-7(2,5):-3.16835::60.6470:87.2570:CDMS
CH3OHvt=0:Methanol:387.15355, 387.15355:8(-2,7)-7(-2,6):-3.16833::63.1880:90.9129:CDMS
CH3OHvt=0:Methanol:390.14146, 390.14146:8(1,7)-7(1,6)--:-3.12479::55.6670:80.0919:CDMS
SiOv=0:Silicon Monoxide:390.72861, 390.72861:9-8:-0.63980::52.1397:75.0170:CDMS
CH3OHvt=0:Methanol:391.43407, 391.43407:6(-2,5)-5(1,4):-6.10600::38.8330:55.8717:CDMS
CSv=0:Carbon Monosulfide:391.84689, 391.84689:8-7:0.00000::45.7530:65.8280:SLAIM
CH3OHvt=0:Methanol:394.58710, 394.58710:4(4,0)-5(3,3)++:-4.62745::58.8130:84.6183:CDMS
CH3OHvt=0:Methanol:394.58710, 394.58710:4(4,1)-5(3,2)--:-4.62745::58.8130:84.6183:CDMS
CH3OHvt=0:Methanol:397.03909, 397.03909:3(3,1)-2(2,0)++:-3.19423::31.0490:44.6723:CDMS
CH3OHvt=0:Methanol:397.04141, 397.04141:3(3,0)-2(2,1)--:-3.19422::31.0490:44.6723:CDMS
CH3OHvt=0:Methanol:398.44692, 398.44692:2(1,2)-1(0,1)++:-3.32639::1.6140:2.3222:CDMS
CH3OHvt=0:Methanol:398.94623, 398.94623:5(0,5)-4(-1,4):-3.50784:11.0:20.0090:28.7883:CDMS
CH3OHvt=0:Methanol:407.06955, 407.06955:5(1,4)-4(0,4):-3.40573::25.2540:36.3347:CDMS
CH3OHvt=0:Methanol:411.29005, 411.29005:3(-2,2)-2(0,2):-7.79720::13.9630:20.0895:CDMS
CH3OHvt=0:Methanol:412.27159, 412.27159:8(2,6)-7(1,6):-3.19915::59.8090:86.0513:CDMS
CH3OHvt=0:Methanol:414.89016, 414.89016:7(-2,6)-6(2,4):-7.86346::49.3490:71.0018:CDMS
CH3OHvt=0:Methanol:419.07655, 419.07655:2(1,1)-1(-1,1):-9.28643::5.4900:7.8988:CDMS
H2CO:Formaldehyde:421.92060, 421.92060:6(1,6)-5(1,5):-1.51270::43.4067:62.4522:CDMS
CH3OHvt=0:Methanol:423.43972, 423.43972:2(-2,1)-2(-1,2):-3.53720::8.7170:12.5417:CDMS
CH3OHvt=0:Methanol:423.46866, 423.46866:3(-2,2)-3(-1,3):-3.30113::13.5560:19.5039:CDMS
CH3OHvt=0:Methanol:423.53826, 423.53826:4(-2,3)-4(-1,4):-3.16793::20.0090:28.7883:CDMS
CH3OHvt=0:Methanol:423.67516, 423.67516:5(-2,4)-5(-1,5):-3.07675::28.0730:40.3906:CDMS
CH3OHvt=0:Methanol:423.91270, 423.91270:6(-2,5)-6(-1,6):-3.00962::37.7490:54.3121:CDMS
CH3OHvt=0:Methanol:424.29101, 424.29101:7(-2,6)-7(-1,7):-2.95877::49.0350:70.5500:CDMS
CH3OHvt=0:Methanol:424.85726, 424.85726:8(-2,7)-8(-1,8):-2.92018::61.9300:89.1029:CDMS
