Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
SiC2v=0:Silicon Carbide:182.28341:0.0017985:::17(4,14)-18(2,17):-5.80400::136.85900:CDMS
SiC2v=0:Silicon Carbide:183.57907:0.0018167:::18(4,15)-19(2,18):-5.81300::151.13710:CDMS
SiC2v=0:Silicon Carbide:183.68280:3.35E-5:::8(2,7)-8(0,8):-4.61280::27.50230:CDMS
SiC2v=0:Silicon Carbide:183.68282:0.000197:::8(2,7)-8(0,8):0.00000::27.50200:SLAIM
SiC2v=0:Silicon Carbide:183.68284:2.74E-5:::8(2,7)-8(0,8):-4.37780::27.50230:JPL
SiC2v=0:Silicon Carbide:183.71009:0.001783:::16(4,13)-17(2,16):-5.79360::123.28590:CDMS
SiC2v=0:Silicon Carbide:187.06552:5.3E-6:::8(2,7)-7(2,6):-2.54570::27.38940:JPL
SiC2v=0:Silicon Carbide:187.06554:4.8E-6:::8(2,7)-7(2,6):-2.78060::27.38950:CDMS
SiC2v=0:Silicon Carbide:187.06554:3.7E-5:::8(2,7)-7(2,6):0.00000::27.38900:SLAIM
SiC2v=0:Silicon Carbide:187.53499:0.0018378:::19(4,16)-20(2,19):-5.81970::166.11720:CDMS
SiC2v=0:Silicon Carbide:187.86718:0.00177:::15(4,12)-16(2,15):-5.78380::110.42120:CDMS
SiC2v=0:Silicon Carbide:187.99391:0.0086752:::25(6,20)-26(4,23):-5.78520::299.71200:CDMS
SiC2v=0:Silicon Carbide:188.38570:7.7E-6:::8(6,3)-7(6,2):-3.19520::70.85260:CDMS
SiC2v=0:Silicon Carbide:188.38570:7.7E-6:::8(6,2)-7(6,1):-3.19520::70.85260:CDMS
SiC2v=0:Silicon Carbide:188.38579:4.6E-6:::8(6,3)-7(6,2):-2.96010::70.78470:JPL
SiC2v=0:Silicon Carbide:188.38579:4.6E-6:::8(6,2)-7(6,1):-2.96010::70.78470:JPL
SiC2v=0:Silicon Carbide:188.38580:4.6E-5:::8(6,3)-7(6,2):0.00000::70.79000:SLAIM
SiC2v=0:Silicon Carbide:188.38580:4.6E-5:::8(6,2)-7(6,1):0.00000::70.79000:SLAIM
SiC2v=0:Silicon Carbide:189.32851:6.0E-6:::8(4,5)-7(4,4):-2.90050::43.76450:CDMS
SiC2v=0:Silicon Carbide:189.32855:3.1E-6:::8(4,5)-7(4,4):-2.66550::43.76010:JPL
SiC2v=0:Silicon Carbide:189.32857:2.6E-5:::8(4,5)-7(4,4):0.00000::43.76000:SLAIM
SiC2v=0:Silicon Carbide:189.36381:6.0E-6:::8(4,4)-7(4,3):-2.90030::43.76510:CDMS
SiC2v=0:Silicon Carbide:189.36385:3.1E-6:::8(4,4)-7(4,3):-2.66530::43.76070:JPL
SiC2v=0:Silicon Carbide:189.36387:2.6E-5:::8(4,4)-7(4,3):0.00000::43.76100:SLAIM
SiC2v=0:Silicon Carbide:189.94106:0.001521:::18(2,16)-19(0,19):0.00000::138.87700:SLAIM
SiC2v=0:Silicon Carbide:189.94162:0.0001515:::18(2,16)-19(0,19):-6.16590::138.87720:CDMS
SiC2v=0:Silicon Carbide:192.86070:0.0001281:::16(2,14)-16(2,15):-3.96940::110.42120:JPL
SiC2v=0:Silicon Carbide:192.86085:0.000825:::16(2,14)-16(2,15):0.00000::110.42100:SLAIM
SiC2v=0:Silicon Carbide:192.86086:0.0001196:::16(2,14)-16(2,15):-4.20430::110.42120:CDMS
SiC2v=0:Silicon Carbide:::193.41237:3.0E-5:9(2,8)-9(0,9):-4.26450::34.17900:JPL
SiC2v=0:Silicon Carbide:::193.41237:4.5E-5:9(2,8)-9(0,9):-4.49950::34.17900:CDMS
SiC2v=0:Silicon Carbide:193.41240:0.000146:193.41237:3.0E-5:9(2,8)-9(0,9):0.00000::34.17900:SLAIM
SiC2v=0:Silicon Carbide:194.03973:0.0018623:::20(4,17)-21(2,20):-5.82390::181.79730:CDMS
